source,target,value
Maxwell's theorem,Central limit theorem,
Maxwell's theorem,Log-normal distribution,0.90255968533
Maxwell's theorem,Negative binomial distribution,0.932989234218
Maxwell's theorem,Irwin Hall distribution,0.903133085772
Maxwell's theorem,Multidimensional Chebyshev's inequality,0.958728526898
Maxwell's theorem,Bates distribution,0.918803514748
Maxwell's theorem,Compound probability distribution,0.949597998309
Maxwell's theorem,Indecomposable distribution,0.913771212577
Maxwell's theorem,Concomitant (statistics),0.953331269325
Maxwell's theorem,Fisher's noncentral hypergeometric distribution,0.915781090155
Maxwell's theorem,Product distribution,0.917594425733
Maxwell's theorem,Negative multinomial distribution,0.92245335423
Maxwell's theorem,Paley Zygmund inequality,0.924952831134
Maxwell's theorem,Law of total cumulance,0.945020822575
Maxwell's theorem,Marchenko Pastur distribution,0.912102108873
Maxwell's theorem,Conditional probability distribution,0.916719275486
Maxwell's theorem,Skellam distribution,0.920403493048
Maxwell's theorem,Bennett's inequality,0.935583895675
Maxwell's theorem,Logit-normal distribution,0.916346528995
Maxwell's theorem,Law of total variance,0.905259058987
Maxwell's theorem,Folded normal distribution,0.903268754113
Maxwell's theorem,Multinomial distribution,0.91182196574
Maxwell's theorem,Ratio distribution,0.929016326131
Maxwell's theorem,Lyapunov's central limit theorem,0.916571562358
Maxwell's theorem,Gaussian measure,0.90255968533
Maxwell's theorem,Log-Cauchy distribution,0.912679563595
Maxwell's theorem,Rayleigh distribution,0.915801287729
Maxwell's theorem,Large deviations of Gaussian random functions,0.965266824816
Moment-generating function,Rayleigh mixture distribution,0.909302295337
Moment-generating function,Discrete probability distribution,0.915497015105
Moment-generating function,Central limit theorem (illustration),0.964308657338
Moment-generating function,Continuous probability distribution,0.948795593781
Moment-generating function,Rademacher distribution,0.964308657338
Moment-generating function,Compound probability distribution,0.920902936717
Moment-generating function,Discrete distribution,0.913592841767
Moment-generating function,Degenerate distribution,0.964308657338
Moment-generating function,Truncated normal distribution,0.931212899418
Moment-generating function,Categorical distribution,0.915995508525
Moment-generating function,Concomitant (statistics),0.904051682282
Moment-generating function,McCullagh's parametrization of the Cauchy distributions,0.913359362011
Moment-generating function,Normal variance-mean mixture,0.900440466583
Moment-generating function,Smoothness (probability theory),0.920578319981
Moment-generating function,Probability density function,0.904024428551
Moment-generating function,Probability distribution,0.952863287908
Moment-generating function,Cumulative distribution function,0.964308657338
Moment-generating function,Log-Laplace distribution,0.927106223091
Moment-generating function,List of convolutions of probability distributions,0.908017926394
Moment-generating function,Zeta distribution,0.954182183544
Moment-generating function,Compound Poisson distribution,0.925009294767
Moment-generating function,Mixture distribution,0.904319100234
Moment-generating function,Chernoff's distribution,0.92704212192
Moment-generating function,Log-logistic distribution,0.9095164946
Moment-generating function,Infinite divisibility (probability),0.901810260384
Moment-generating function,Probability mass function,0.922864949101
Moment-generating function,Location-scale family,0.94497701073
Moment-generating function,Reciprocal distribution,0.900197550232
Moment-generating function,Champernowne distribution,0.901398951221
Moment-generating function,Kirkwood approximation,0.904580036379
Moment-generating function,Van Houtum distribution,0.933849076936
Moment-generating function,Concrete illustration of the central limit theorem,0.915779268138
Moment-generating function,Circular distribution,0.948795593781
Moment-generating function,Gauss Kuzmin distribution,0.900544716765
Moment-generating function,Relationships among probability distributions,0.90840905679
Moment-generating function,Illustration of the central limit theorem,0.905256188162
Moment-generating function,Joint probability distribution,0.948795593781
Moment-generating function,Cross-correlation,0.954508706266
Moment-generating function,Characteristic function (probability theory),0.905550667842
Moment-generating function,Glivenko Cantelli theorem,0.974770915771
Moment-generating function,Stability (probability),0.909932515062
Moment-generating function,Random function,0.900549468048
Burke's theorem,Brownian excursion,0.921947644414
Burke's theorem,Wiener process,0.933601172116
Burke's theorem,Novikov's condition,0.901353522328
Burke's theorem,Gittins index,0.94140969175
Burke's theorem,Empirical process,0.90832041599
Burke's theorem,Fleming Viot process,0.928250021242
Burke's theorem,Killed process,0.906738733512
Burke's theorem,Doob decomposition theorem,0.906470056968
Burke's theorem,Lindley equation,0.909574125317
Burke's theorem,Gauss Markov process,0.929338936794
Burke's theorem,Doob's martingale inequality,0.910519867644
Burke's theorem,Markov process,0.912154909938
Burke's theorem,Diffusion process,0.918476857514
Burke's theorem,Cox process,0.906614683334
Burke's theorem,Geometric Brownian motion,0.903294297877
Burke's theorem,Counting process,0.904523437246
Burke's theorem,Reflected Brownian motion,0.928074818885
Burke's theorem,Feller-continuous process,0.911971098375
Burke's theorem,Adapted process,0.925301067543
Location estimation,Summary statistic,0.903243914777
Reversible dynamics,Wiener process,1.0
Reversible dynamics,Kolmogorov backward equation,0.948875631602
Reversible dynamics,Detailed balance,0.9626477649
Reversible dynamics,Regenerative process,0.914321778657
Reversible dynamics,Natural process variation,0.951258610167
Reversible dynamics,Killed process,0.940525811915
Reversible dynamics,Time reversibility,0.929812637593
Reversible dynamics,It  isometry,1.0
Reversible dynamics,Stationary process,0.901584631511
Reversible dynamics,Unit root,0.939304269586
Reversible dynamics,Increasing process,0.913140620545
Reversible dynamics,Disorder problem,0.900676276292
Reversible dynamics,Markov process,0.918636523299
Reversible dynamics,Markov additive process,0.929123183113
Reversible dynamics,Mean-reverting process,0.913004597703
Reversible dynamics,Cox process,0.929334774966
Reversible dynamics,Trend stationary,0.903204882967
Reversible dynamics,Stochastic calculus,0.917355484279
Reversible dynamics,Stopped process,0.907782732665
Reversible dynamics,Ornstein Uhlenbeck process,0.903368793858
Reversible dynamics,Quadratic variation,0.929334774966
Reversible dynamics,First-hitting-time model,0.913344141828
Reversible dynamics,Feller-continuous process,0.908309570809
Reversible dynamics,Adapted process,0.907328624694
Reversible dynamics,Markovian arrival processes,0.909204838764
Item-total correlation,Representation validity,0.905579157306
Item-total correlation,Wald test,0.905149940119
Item-total correlation,Testing hypotheses suggested by the data,0.940203231424
Item-total correlation,Multiple of the median,0.916673617056
Item-total correlation,Predictive validity,0.945645583411
Item-total correlation,Unit root test,0.933822951478
Item-total correlation,Neyer d-optimal test,0.905377319695
Item-total correlation,Test score,0.913577839959
Item-total correlation,Power (statistics),0.917452547633
Item-total correlation,Pearson's chi-squared test,0.912499246986
Item-total correlation,Intra-rater reliability,0.90791796539
Item-total correlation,Siegel Tukey test,0.904217559673
Item-total correlation,Friedman test,0.90740063692
Item-total correlation,Anchor test,0.91750144332
Item-total correlation,Multistage testing,0.93392427004
Item-total correlation,Cochran's Q test,0.926063929265
Item-total correlation,Duncan's new multiple range test,0.904742900263
Item-total correlation,Statistical power,0.958090760743
Item-total correlation,Internal consistency,0.912499246986
Item-total correlation,Counternull,0.935658429849
Item-total correlation,Neyman Pearson lemma,0.900706212816
Item-total correlation,Newman Keuls method,0.928064776011
Item-total correlation,Welch's t test,0.91291777473
Random variate,Random variable,0.90607461185
Random variate,Neutral vector,0.961881692728
Random variate,Sum of normally distributed random variables,0.91869922535
Random variate,Multivariate random variable,0.9133649526
Random variate,Law of total cumulance,0.953795583397
Random variate,Independent and identically distributed random variables,0.908011468952
Random variate,De Finetti's theorem,0.903550414581
Random variate,Information source (mathematics),0.905734637415
Random variate,Stochastic ordering,0.918665590745
Random variate,Random permutation statistics,0.918567873792
Random variate,Algebra of random variables,0.936142975531
Multiple baseline design,Nested case-control study,0.911919621175
Multiple baseline design,Cohort study,0.945463674119
Multiple baseline design,Observational study,0.945715081739
Multiple baseline design,Restricted randomization,0.903996884665
Multiple baseline design,Wike's law of low odd primes,0.932229550209
Multiple baseline design,Reproducibility,0.915611995573
Multiple baseline design,Study heterogeneity,0.929084905708
Multiple baseline design,Recall bias,0.919407284543
Multiple baseline design,Forest plot,0.94027156356
Multiple baseline design,Ecological study,0.904185223334
Multiple baseline design,Blind experiment,0.956461190522
Multiple baseline design,Non-response bias,0.90145792555
Multiple baseline design,N of 1 trial,0.966760005449
Multiple baseline design,Experimenter's bias,0.94209326236
Multiple baseline design,Factorial experiment,0.961043829859
Multiple baseline design,Policy capturing,0.910432305281
Multiple baseline design,Crossover study,0.925437550708
Multiple baseline design,Per-protocol analysis,0.947819547754
Multiple baseline design,Response bias,0.91108116894
Multiple baseline design,Placebo-controlled study,0.974977017849
Multiple baseline design,Replication (statistics),0.949704022478
Multiple baseline design,Randomized controlled trial,0.926389068629
Multiple baseline design,Interim analysis,0.952148125846
Multiple baseline design,Design of quasi-experiments,0.914049085314
Multiple baseline design,Rind et al. controversy,0.946277560806
Multiple baseline design,Geodemographic segmentation,0.943569383189
Multiple baseline design,Propensity score,0.903165003822
Multiple baseline design,Average treatment effect,0.953430400193
Multiple baseline design,Therapeutic effect,0.902348937003
Multiple baseline design,Cluster randomised controlled trial,0.916723006589
Multiple baseline design,Natural experiment,0.93922559289
Multiple baseline design,Design of experiments,0.924465248748
Multiple baseline design,Orthogonal array testing,0.926650664068
Multiple baseline design,Intention to treat analysis,0.90837177961
Multiple baseline design,Self-selection bias,0.91108116894
Multiple baseline design,Regression discontinuity design,0.956003267706
Multiple baseline design,Confirmation bias,0.913118547899
Multiple baseline design,Random assignment,0.930214476594
Multiple baseline design,Clinical trial,0.931647560215
Multiple baseline design,Completely randomized design,0.930847495338
Multiple baseline design,Clinical significance,0.926650664068
Multiple baseline design,Longitudinal study,0.914736808245
Multiple baseline design,Ethical problems using children in clinical trials,0.933792535611
Multiple baseline design,Quasi-experiment,0.940904701023
Multiple baseline design,Resentful demoralization,0.946277560806
Multiple baseline design,Cohort effect,0.905098194775
Multiple baseline design,Experiment,0.950202390378
Multiple baseline design,True experiment,0.949704181665
Multiple baseline design,Fully crossed design,0.949704181665
Multiple baseline design,Case-control study,0.910432305281
Multiple baseline design,Spectrum bias,0.970411653456
Multiple baseline design,Survivorship bias,0.931370819669
Multiple baseline design,Systematic review,0.911879073421
Multiple baseline design,Case-control,0.905289719526
Multiple baseline design,Internal validity,0.970411653456
Multiple baseline design,Matching (statistics),0.916206275047
Multiple baseline design,Scientific control,0.961454235492
Multiple baseline design,List of important publications in statistics,0.936353988813
Multiple baseline design,Uncertainty quantification,0.922783825495
Multiple baseline design,File drawer problem,0.900633369881
Multiple baseline design,Repeated measures design,0.94128355495
Multiple baseline design,One-factor-at-a-time method,0.903974566071
Multiple baseline design,Difference in differences,0.955831663193
Multiple baseline design,National Health Interview Survey,0.920441644898
Multiple baseline design,Propensity score matching,0.905719950571
Multiple baseline design,Randomized block design,0.953430400193
Strong Law of Small Numbers,SPRT,0.948500033445
Reification (statistics),B hlmann model,0.904909278235
Reification (statistics),Sensitivity analysis,0.908500162838
Reification (statistics),Multifactor dimensionality reduction,0.928089235881
Reification (statistics),Vector autoregression,0.913810900914
Reification (statistics),Structural equation modeling,0.914529442958
Reification (statistics),Econometric model,0.901491868637
Reification (statistics),Response surface methodology,0.903284689479
Layered hidden Markov model,Hidden Markov model,0.933044148082
Layered hidden Markov model,Fork-join queue,0.922418475157
Layered hidden Markov model,Markov model,0.903763562743
Layered hidden Markov model,Simon model,0.947098714138
Layered hidden Markov model,Hidden semi-Markov model,0.90395003317
Layered hidden Markov model,Maximum-entropy Markov model,0.962343495201
Layered hidden Markov model,Hierarchical hidden Markov model,0.915402404548
Dyadic distribution,Continuity correction,0.919689578084
Dyadic distribution,Rayleigh mixture distribution,0.914273911696
Dyadic distribution,Hyperbolic distribution,0.919671210478
Dyadic distribution,Inverse distribution,0.927066007499
Dyadic distribution,Exponential-logarithmic distribution,0.902726002892
Dyadic distribution,Discrete probability distribution,0.921928355335
Dyadic distribution,Continuous probability distribution,0.914519002895
Dyadic distribution,Wrapped exponential distribution,0.914519002895
Dyadic distribution,Discrete distribution,0.911079350348
Dyadic distribution,Conway Maxwell Poisson distribution,0.914519002895
Dyadic distribution,Inverse-chi-squared distribution,0.911715459107
Dyadic distribution,Normal-gamma distribution,0.921715474069
Dyadic distribution,Exponential random numbers,0.928236243914
Dyadic distribution,Beta-binomial distribution,0.903821331385
Dyadic distribution,Inverse-gamma distribution,0.904096943989
Dyadic distribution,Elliptical distribution,0.906399118289
Dyadic distribution,Asymptotic normality,0.932603072605
Dyadic distribution,Distribution fitting,0.909725510781
Dyadic distribution,Wrapped Cauchy distribution,0.922497704262
Dyadic distribution,Zipf Mandelbrot law,0.915794559802
Dyadic distribution,Probability distribution,0.900189504895
Dyadic distribution,L vy flight,0.914519002895
Dyadic distribution,Kumaraswamy distribution,0.903207445078
Dyadic distribution,Dirichlet-multinomial distribution,0.933442023165
Dyadic distribution,Normal-scaled inverse gamma distribution,0.914559237231
Dyadic distribution,Bimodal distribution,0.929732443534
Dyadic distribution,Split normal distribution,0.9401035148
Dyadic distribution,Dirichlet distribution,0.903441512135
Dyadic distribution,Beta distribution,0.904849602188
Dyadic distribution,Singular distribution,0.932853985315
Dyadic distribution,Cantor distribution,0.902045110598
Dyadic distribution,Skew normal distribution,0.921500443385
Dyadic distribution,Benini distribution,0.933048522349
Dyadic distribution,Exponential distribution,0.923009226442
Dyadic distribution,Multivariate P lya distribution,0.903821331385
Dyadic distribution,Log-logistic distribution,0.914559237231
Dyadic distribution,Location-scale family,0.933186355784
Dyadic distribution,Reciprocal distribution,0.907570134058
Dyadic distribution,Champernowne distribution,0.909417355751
Dyadic distribution,Rectified Gaussian distribution,0.901572321232
Dyadic distribution,Kirkwood approximation,0.910881606229
Dyadic distribution,Asymptotic distribution,0.907554783644
Dyadic distribution,Van Houtum distribution,0.909725510781
Dyadic distribution,Gumbel distribution,0.942662693938
Dyadic distribution,Bivariate von Mises distribution,0.916689791918
Dyadic distribution,Circular distribution,0.936842949229
Dyadic distribution,L vy distribution,0.907166126921
Dyadic distribution,Beta-binomial model,0.907404505125
Dyadic distribution,Generalised hyperbolic distribution,0.904096943989
Dyadic distribution,Burr distribution,0.903549578004
Dyadic distribution,Normal-inverse Gaussian distribution,0.941436396981
Dyadic distribution,Soliton distribution,0.90658866432
Dyadic distribution,Holtsmark distribution,0.921890690626
Dyadic distribution,Uniform distribution (continuous),0.910547151492
Dyadic distribution,Fisher Tippett distribution,0.923763260782
Dyadic distribution,Generalized extreme value distribution,0.900496579801
Dyadic distribution,Beta rectangular distribution,0.900496579801
Dyadic distribution,Bernoulli distribution,0.922277548903
Multivariate Pareto distribution,Generalized gamma distribution,0.902312976605
Multivariate Pareto distribution,Q-exponential distribution,0.919440234861
Multivariate Pareto distribution,Multivariate stable distribution,0.911410434556
Multivariate Pareto distribution,Heavy-tailed distribution,0.905916195817
Explained sum of squares,Total least squares,0.906613642358
Explained sum of squares,Recursive least squares,0.907043943886
Explained sum of squares,Least squares,0.936848151007
Explained sum of squares,Residual sum of squares,0.914589215425
Explained sum of squares,Total sum of squares,0.969883548367
Explained sum of squares,Simple linear regression,0.934858750952
Explained sum of squares,Moving least squares,0.94620313357
Regression diagnostic,Multilevel model,0.927050687697
Regression diagnostic,Censored regression model,0.934297381169
Regression diagnostic,Scheff 's method,0.931705008791
Regression diagnostic,Conjoint analysis,0.900934458602
Regression diagnostic,Hierarchical linear modeling,0.924203471416
Regression diagnostic,Regression model validation,0.934297381169
Regression diagnostic,Multicollinearity,0.90945599081
Regression diagnostic,Structural equation modeling,0.908617828953
Regression diagnostic,Model output statistics,0.952668950939
Regression diagnostic,Nonparametric regression,0.912796724029
Regression diagnostic,Confirmatory factor analysis,0.909594546903
Index of coincidence,Average,0.934968874009
Correlation does not imply causation,Correlation implies causation,0.924508453954
Correlation does not imply causation,Acquiescence bias,1.0
Correlation does not imply causation,Forest plot,0.942595024742
